Gender,Weight,Championship,Round,Fighter,Points,Result,How,Time,Day,Match No,Place
Male,Men -66kg,Championship,Round of 16,Paulo Miyao,5,w,score,10:00,Saturday,33,
Male,Men -66kg,Championship,Round of 16,Kenta Iwamoto,0,l,score,10:00,Saturday,33,
Male,Men -66kg,Championship,Round of 16,Shane Jamil Hill-Taylor,0,l,score,10:00,Saturday,34,
Male,Men -66kg,Championship,Round of 16,Nicky Ryan,2,w,score,10:00,Saturday,34,
Male,Men -66kg,Championship,Round of 16,"Augusto ""Tanquinho"" Mendes",5,w,submission,7:55,Saturday,35,
Male,Men -66kg,Championship,Round of 16,Keith Krikorian,0,l,submission,7:55,Saturday,35,
Male,Men -66kg,Championship,Round of 16,Geo Martinez,0,l,ref decision,15:00,Saturday,36,
Male,Men -66kg,Championship,Round of 16,Matheus Gabriel,0,w,ref decision,15:00,Saturday,36,
Male,Men -66kg,Championship,Round of 16,Pablo Mantovani,13,w,score,10:00,Saturday,37,
Male,Men -66kg,Championship,Round of 16,Thomas Halpin,0,l,score,10:00,Saturday,37,
Male,Men -66kg,Championship,Round of 16,Bruno Frazatto,0,l,score,15:00,Saturday,38,
Male,Men -66kg,Championship,Round of 16,Tye Ruotolo,2,w,score,15:00,Saturday,38,
Male,Men -66kg,Championship,Round of 16,Gianni Grippo,2,l,score,15:00,Saturday,39,
Male,Men -66kg,Championship,Round of 16,Richard Alarcon,4,w,score,15:00,Saturday,39,
Male,Men -66kg,Championship,Round of 16,Kennedy Maciel,2,w,submission,8:54,Saturday,40,
Male,Men -66kg,Championship,Round of 16,Ruan Alvarenga,3,l,submission,8:54,Saturday,40,
Male,Men -66kg,Championship,Quarter-Finals,Paulo Miyao,2,w,score,10:00,Saturday,65,
Male,Men -66kg,Championship,Quarter-Finals,Nicky Ryan,0,l,score,10:00,Saturday,65,
Male,Men -66kg,Championship,Quarter-Finals,"Augusto ""Tanquinho"" Mendes",0,w,ref decision,15:00,Saturday,66,
Male,Men -66kg,Championship,Quarter-Finals,Matheus Gabriel,0,l,ref decision,15:00,Saturday,66,
Male,Men -66kg,Championship,Quarter-Finals,Pablo Mantovani,0,l,ref decision,15:00,Saturday,67,
Male,Men -66kg,Championship,Quarter-Finals,Tye Ruotolo,0,w,ref decision,15:00,Saturday,67,
Male,Men -66kg,Championship,Quarter-Finals,Richard Alarcon,0,l,score,10:00,Saturday,68,
Male,Men -66kg,Championship,Quarter-Finals,Kennedy Maciel,2,w,score,10:00,Saturday,68,
Male,Men -66kg,Championship,Semi-Finals,Paulo Miyao,0,l,ref decision,15:00,Sunday,77,Bronze
Male,Men -66kg,Championship,Semi-Finals,"Augusto ""Tanquinho"" Mendes",0,w,ref decision,15:00,Sunday,77,
Male,Men -66kg,Championship,Semi-Finals,Tye Ruotolo,0,l,score,14:40,Sunday,78,
Male,Men -66kg,Championship,Semi-Finals,Kennedy Maciel,3,w,score,14:40,Sunday,78,
Male,Men -66kg,Championship,Final,"Augusto ""Tanquinho"" Mendes",3,w,score,20:00,Sunday,94,Gold
Male,Men -66kg,Championship,Final,Kennedy Maciel,0,l,score,20:00,Sunday,94,Silver
Male,Men -66kg,Consolation,Consolation,Paulo Miyao,4,w,score,15:00,Sunday,87,
Male,Men -66kg,Consolation,Consolation,Tye Ruotolo,0,l,score,15:00,Sunday,87,
Male,Men -77kg,Championship,Round of 16,JT Torres,0,w,score,15:00,Saturday,25,
Male,Men -77kg,Championship,Round of 16,Ross Nicholls,0,l,score,15:00,Saturday,25,
Male,Men -77kg,Championship,Round of 16,John Combs,0,l,score,10:00,Saturday,26,
Male,Men -77kg,Championship,Round of 16,DJ Jackson,5,w,score,10:00,Saturday,26,
Male,Men -77kg,Championship,Round of 16,Garry Tonon,3,w,submission,7:01,Saturday,27,
Male,Men -77kg,Championship,Round of 16,Mateusz Gamrot,0,l,submission,7:01,Saturday,27,
Male,Men -77kg,Championship,Round of 16,Renato Canuto,2,w,score,15:00,Saturday,28,
Male,Men -77kg,Championship,Round of 16,Oliver Taza,0,l,score,15:00,Saturday,28,
Male,Men -77kg,Championship,Round of 16,Lucas Lepri,3,w,score,10:00,Saturday,29,
Male,Men -77kg,Championship,Round of 16,Lachlan Giles,0,l,score,10:00,Saturday,29,
